"condition","difficulty","success_rate","avg_response_time","avg_correct_trials"
"multiplayer","easy",0.981978255662466,11215.2308315064,20.7435897435897
"multiplayer","optimal_selected",0.79827188130497,19728.2056489528,11
"multiplayer","optimal_calibrated",0.860276924872513,18225.4784234046,12.45
"multiplayer","hard",0.0904428904428905,27753.0778554779,0.923076923076923
"singleplayer","easy",0.955192765567766,10010.1643481392,21.975
"singleplayer","optimal_selected",0.750233960205266,17915.6040070144,11.6829268292683
"singleplayer","optimal_calibrated",0.812870302641974,15879.9182048435,13.3
"singleplayer","hard",0.0162232076866223,26824.1607208848,0.170731707317073
