SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_44-SP,5,18,0,13,OVER_PREF,SP,MATH_OVERLOAD,15.9090909090909,16,26585.4545454545,9,2,0.181818181818182
session_45-MP,4,6,4,2,OVER_PREF,MP,MATH_AUTONOMY,6.38461538461539,6,20909.2307692308,3,10,0.769230769230769
session_45-MP,4,6,4,2,OVER_PREF,MP,MATH_FLOW,5.57142857142857,5.5,18248.5714285714,1,13,0.928571428571429
session_45-SP,5,4,0,-1,UNDER_PREF,SP,MATH_AUTONOMY,6.23529411764706,6,14925.5882352941,1,16,0.941176470588235
session_45-SP,5,4,0,-1,UNDER_PREF,SP,MATH_BOREDOM,0,0,9047.08333333333,0,24,1
session_45-SP,5,4,0,-1,UNDER_PREF,SP,MATH_FLOW,7.05882352941176,7,14269.5294117647,2,15,0.882352941176471
session_45-SP,5,4,0,-1,UNDER_PREF,SP,MATH_OVERLOAD,15.8,16,28000.2,10,0,0
session_46-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,5.42857142857143,5,19712.2142857143,6,8,0.571428571428571
session_46-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,11148.380952381,0,21,1
session_46-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,5.69230769230769,6,20780.2307692308,1,12,0.923076923076923
session_46-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28001.9,10,0,0
session_47-MP,4,7,3,3,OVER_PREF,MP,MATH_AUTONOMY,7.83333333333333,8,21822.25,3,9,0.75
session_47-MP,4,7,3,3,OVER_PREF,MP,MATH_BOREDOM,0,0,10223.1818181818,0,22,1
session_47-MP,4,7,3,3,OVER_PREF,MP,MATH_FLOW,5.71428571428571,6,19597.5,1,13,0.928571428571429
session_47-MP,4,7,3,3,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,28003.4,10,0,0
session_47-SP,2,5,0,3,OVER_PREF,SP,MATH_AUTONOMY,6.16666666666667,6,13535.9444444444,5,13,0.722222222222222
session_47-SP,2,5,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,9556.39130434783,0,23,1
session_47-SP,2,5,0,3,OVER_PREF,SP,MATH_FLOW,4,4,11901.65,3,17,0.85
session_47-SP,2,5,0,3,OVER_PREF,SP,MATH_OVERLOAD,12.8,13,27966.5,10,0,0
session_48-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,6.57142857142857,7,18953.5714285714,2,12,0.857142857142857
session_48-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,10502.2727272727,0,22,1
session_48-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,4.15384615384615,4,20609.6923076923,2,11,0.846153846153846
session_48-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28000.3,10,0,0
session_49-MP,3,4,5,1,OVER_PREF,MP,MATH_AUTONOMY,5,5,21966.1666666667,3,9,0.75
session_49-MP,3,4,5,1,OVER_PREF,MP,MATH_BOREDOM,0,0,11684.9,0,20,1
session_49-MP,3,4,5,1,OVER_PREF,MP,MATH_FLOW,4.61538461538462,5,21671.8461538462,1,12,0.923076923076923
session_49-MP,3,4,5,1,OVER_PREF,MP,MATH_OVERLOAD,13.8,14,28004.6,10,0,0
session_49-SP,5,1,0,-4,UNDER_PREF,SP,MATH_AUTONOMY,3.35294117647059,3,15371.8823529412,1,16,0.941176470588235
session_49-SP,5,1,0,-4,UNDER_PREF,SP,MATH_BOREDOM,0,0,9822.4347826087,0,23,1
