"variable_clean","Mean_SD_Exp1_Math_Team","Mean_SD_Exp2_HP_Team","Mean_SD_Exp2_Math_Team","N_Exp1_Math_Team","N_Exp2_HP_Team","N_Exp2_Math_Team"
"Communication
Required","3.73 ± 1.71","5.88 ± 1.26","4.06 ± 1.89",113,120,120
"Social
Presence","3.28 ± 1.34","4.92 ± 1.34","4.54 ± 1.69",108,120,120
"Work
Independence","3.96 ± 1.67","2.81 ± 1.7","4.18 ± 1.92",113,120,120
