"participant.code","team_id","condition","difficulty_round3","difficulty_round4","difficulty_round5","difficulty_round6","easy_success_rate","easy_trials","easy_timeups","easy_avg_time","easy_correct_trials","optimal_selected_success_rate","optimal_selected_trials","optimal_selected_timeups","optimal_selected_avg_time","optimal_selected_correct_trials","optimal_calibrated_success_rate","optimal_calibrated_trials","optimal_calibrated_timeups","optimal_calibrated_avg_time","optimal_calibrated_correct_trials","hard_success_rate","hard_trials","hard_timeups","hard_avg_time","hard_correct_trials","hp_easy_points","hp_optimal_points","hp_hard_points","hp_easy_discussion_time","hp_optimal_discussion_time","hp_hard_discussion_time","hp_easy_next_button","hp_optimal_next_button","hp_hard_next_button"
"bgceom04","5pp0w4ir_U4KUALH0AA","chat","Hard","Easy","Optimal_Selected","Optimal_Calibrated",1,16,0,13586.875,16,0.8,10,3,23050.1,8,1,15,0,15376.7333333333,15,0.111111111111111,9,9,28027.8888888889,1,15,15,10,218.492,300.038,300.078,TRUE,TRUE,TRUE
"d3kgvhu8","ktkvejty_NY4T27GQBX","chat","Easy","Optimal_Calibrated","Hard","Optimal_Selected",0.9,10,8,24764.9,9,0.666666666666667,9,8,27079.6666666667,6,1,9,9,28029.7777777778,9,0,9,9,28035.4444444444,0,15,10,10,300.078,300.079,264.37,TRUE,TRUE,TRUE
"ejprc0pu","tin0pwza_8PCAYSVWDS","chat","Easy","Optimal_Calibrated","Hard","Optimal_Selected",1,16,0,14136.875,16,0.555555555555556,9,6,27246.1111111111,5,0.636363636363636,11,1,22318.1818181818,7,0,9,9,28029.2222222222,0,15,15,10,267.856,300.025,243.819,TRUE,TRUE,TRUE
"ey9qa8hr","5cbg3uhn_3NCP2BYQ8E","chat","Hard","Easy","Optimal_Selected","Optimal_Calibrated",1,17,0,13020.7058823529,17,1,15,1,15408.5333333333,15,0.8,15,1,15151.6666666667,12,0.444444444444444,9,6,27080.4444444444,4,15,15,15,300.026,153.15,228.541,TRUE,TRUE,TRUE
"fvqtvezo","9239f1x4_G6VQMQ3HLQ","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",0.857142857142857,14,2,15306.6428571429,12,0.727272727272727,11,6,22531.3636363636,8,0.75,12,1,20099.25,9,0,9,9,28022.7777777778,0,15,10,15,300.094,300.19,300.009,TRUE,TRUE,TRUE
"fztk3qcx","7r4x2y27_HFU9HBJK4X","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",0.9375,16,0,13901.0625,15,0.571428571428571,14,1,16216,8,0.928571428571429,14,1,16270.7142857143,13,0,9,9,28028,0,15,15,15,152.785,300.035,300.051,TRUE,TRUE,TRUE
"j7t9ix00","6psdsbxm_AI0X032CTS","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,9,9,28021.7777777778,9,1,9,9,28021.7777777778,9,1,9,9,28021.7777777778,9,0.333333333333333,9,9,28020.6666666667,3,15,15,10,96.636,147.712,269.959,TRUE,TRUE,TRUE
"l43k071t","xdmgzj57_ZDGDIXZZSI","jitsi","Hard","Easy","Optimal_Selected","Optimal_Calibrated",0.823529411764706,17,0,12721.7647058824,14,0.916666666666667,12,1,20398.4166666667,11,0.866666666666667,15,0,14416.8666666667,13,0.333333333333333,9,5,26070,3,15,15,15,42,81.361,124.002,TRUE,TRUE,TRUE
"m7yco20t","hl0w9n42_UBN3R9VAY4","jitsi","Optimal_Calibrated","Optimal_Selected","Easy","Hard",1,9,8,26310.2222222222,9,0.636363636363636,11,4,21652.3636363636,7,0.7,10,7,24510.1,7,0.111111111111111,9,9,28027,1,15,15,10,75.647,259.023,300.426,TRUE,TRUE,TRUE
"m8bx0r12","xdmgzj57_M37YBZDI2C","jitsi","Hard","Easy","Optimal_Selected","Optimal_Calibrated",1,9,9,28022.4444444444,9,0.888888888888889,9,9,28027,8,0.888888888888889,9,8,27111.2222222222,8,0.222222222222222,9,9,28026.6666666667,2,15,15,15,192.028,261.296,185.659,TRUE,TRUE,TRUE
"nbo1yc1l","a28vvwro_Z0M64BVTYR","jitsi","Easy","Optimal_Calibrated","Hard","Optimal_Selected",1,15,0,14540.2666666667,15,1,13,0,18517.3076923077,13,0.923076923076923,13,0,17374.9230769231,12,0.222222222222222,9,7,27236.6666666667,2,15,15,15,300.076,260.707,255.078,TRUE,TRUE,TRUE
