"variable_clean","Mean_SD_Exp1_Math_Team","Mean_SD_Exp2_HP_Team","Mean_SD_Exp2_Math_Team","N_Exp1_Math_Team","N_Exp2_HP_Team","N_Exp2_Math_Team"
"Clear Goal &
Process","4.18 ± 0.73","5.01 ± 0.89","4.81 ± 0.79",113,120,120
"Coordination
Possible","4.48 ± 1.03","5.04 ± 1.42","4.53 ± 1.61",113,120,120
"Mutual
Dependence","5.43 ± 1.51","5.45 ± 1.63","5.09 ± 1.7",106,120,120
