"team_id","condition","easy_success_rate","easy_correct_trials","easy_avg_time","optimal_selected_success_rate","optimal_selected_correct_trials","optimal_selected_avg_time","optimal_calibrated_success_rate","optimal_calibrated_correct_trials","optimal_calibrated_avg_time","hard_success_rate","hard_correct_trials","hard_avg_time"
"session_67-SP","singleplayer",1,25,8767,0.9,18,12355.55,0.75,12,15384.1875,0,0,28001.4
"session_68-MP","multiplayer",1,22,10890.9090909091,0.8125,13,15732.4375,0.857142857142857,12,18505.3571428571,0,0,28000.1
"session_68-SP","singleplayer",1,24,9197.29166666667,0.933333333333333,14,16952.6,0.8,12,17256.2666666667,0,0,28000.7
"session_69-MP","multiplayer",1,23,9488.86956521739,0.75,9,22242.0833333333,1,15,17249.2,0.3,3,27156.9
"session_69-SP","singleplayer",1,23,9692,0.666666666666667,10,17200.0666666667,0.8,12,18745.2,0,0,28000.8
"session_70-SP","singleplayer",1,25,8838.96,0.75,9,23892.1666666667,0.8,12,16927.1333333333,0,0,28002.6
"session_71-SP","singleplayer",1,23,9888.13043478261,1,13,20274.6153846154,0.857142857142857,12,19463.4285714286,0,0,28002.2
"session_72-MP","multiplayer",1,20,11856.25,0.8,12,16658,0.857142857142857,12,19252.6428571429,0,0,28001.6
"session_72-SP","singleplayer",1,22,10686,0.8,16,12339.9,0.75,12,16423.9375,0,0,25890.9090909091
"session_73-MP","multiplayer",1,22,10546.2272727273,0.416666666666667,5,23537.6666666667,0.846153846153846,11,20572.7692307692,0.1,1,27661.6
"session_73-SP","singleplayer",1,23,9577.5652173913,0.923076923076923,12,20069.7692307692,0.823529411764706,14,14663.2352941176,0,0,28003.7
"session_74-MP","multiplayer",1,22,10515.6818181818,0.9375,15,16676,0.857142857142857,12,18894.0714285714,0.1,1,28008.8
"session_75-MP","multiplayer",1,19,13140.5263157895,0.833333333333333,10,22732.1666666667,0.846153846153846,11,20118.6153846154,0,0,28003.7
"session_75-SP","singleplayer",1,22,10630.1818181818,0.777777777777778,14,13954.1666666667,0.857142857142857,12,18561.5714285714,0,0,17111.9333333333
"session_76-MP","multiplayer",1,23,9953.73913043478,0.769230769230769,10,20189.3846153846,1,14,18756.2142857143,0.2,2,27311.2
"session_76-SP","singleplayer",1,22,10186.3181818182,0.8,12,18400.0666666667,0.833333333333333,15,13745.0555555556,0.0833333333333333,1,23946.5833333333
"session_77-MP","multiplayer",1,15,17021.2,0.833333333333333,10,22313.1666666667,0.928571428571429,13,19560.5,0.2,2,27192.6
"session_77-SP","singleplayer",1,23,9595.26086956522,0.909090909090909,20,10725.1818181818,0.833333333333333,15,13451.4444444444,0,0,28003.5
"session_78-MP","multiplayer",1,22,10371.8181818182,0.882352941176471,15,14992.7058823529,0.8,12,16664.7333333333,0,0,27935
"session_79-MP","multiplayer",0.933333333333333,14,16667.2,0.533333333333333,8,17081.5333333333,0.647058823529412,11,14456.2352941176,0.272727272727273,3,26641.6363636364
"session_79-SP","singleplayer",1,24,9368.75,0.833333333333333,10,24007.0833333333,0.8125,13,16171.125,0.3,3,27356.7
"session_80-MP","multiplayer",1,23,9518,0.769230769230769,10,19915.8461538462,0.647058823529412,11,15322.4705882353,0,0,28014
"session_80-SP","singleplayer",1,23,10077.6086956522,0.454545454545455,5,24837.4545454545,0.714285714285714,10,19420.0714285714,0,0,28001.2
"session_81-MP","multiplayer",0.7,14,12469.6,0.5,7,18248,0.230769230769231,3,21849.6153846154,0,0,28007.7
"session_81-SP","singleplayer",1,24,8946.29166666667,0.75,12,15988.0625,0.722222222222222,13,13635.8888888889,0,0,27908.6
"session_82-MP","multiplayer",1,23,9592.82608695652,0.846153846153846,11,21715,0.6875,11,15577.3125,0.1,1,27808.6
"session_82-SP","singleplayer",1,24,9010.20833333333,0.875,14,15674.875,0.894736842105263,17,13600.1052631579,0,0,28001.9
"session_83-MP","multiplayer",1,19,12938.5789473684,1,15,16848.3333333333,0.857142857142857,12,20286.7857142857,0,0,28006.7
"session_83-SP","singleplayer",1,21,11104.8571428571,0.583333333333333,7,22123.9166666667,0.823529411764706,14,14236.4117647059,0,0,27032.9090909091
"session_84-MP","multiplayer",1,22,10555.8636363636,0.928571428571429,13,19433.8571428571,1,14,19702.5,0.2,2,27672.8
"session_84-SP","singleplayer",1,24,9247.125,0.733333333333333,11,16904.7333333333,0.8,16,11880.5,0,0,28002.7
"session_85-MP","multiplayer",0.904761904761905,19,10897.9523809524,0.875,14,15799.125,0.705882352941177,12,14243.7647058824,0,0,27930.3
"session_85-SP","singleplayer",0.958333333333333,23,9229.75,0.583333333333333,7,23754.75,0.941176470588235,16,15151.9411764706,0,0,28002.2
"session_86-MP","multiplayer",1,20,12049.5,0.875,14,15459.3125,0.933333333333333,14,18254.2666666667,0,0,27916.7
"session_86-SP","singleplayer",1,23,9603.4347826087,0.466666666666667,7,16752.5333333333,0.68421052631579,13,13107.7894736842,0,0,15921.0625
